Altura Maxima,#Amostras,#Execucao,MSE (Melhor), ErroPercentual, Altura (Melhor),Tempo Execucao
5,300,1,0.039859247583,0.396748740526,5,87.13527464866638
5,300,2,0.0341805619485,0.334181961659,5,96.70191240310669
5,300,3,0.0398598295634,0.384696158021,5,87.04957270622253
5,300,4,0.0391621541768,0.394341177227,5,107.10675382614136
5,300,5,0.0406073742504,0.387455904579,5,108.8215868473053
5,300,6,0.0414675848762,0.394447840328,5,97.98606133460999
5,300,7,0.0327428262309,0.322767256244,5,133.24347066879272
5,300,8,0.0399409240978,0.387874624546,5,113.88375926017761
5,300,9,0.0396621626049,0.399239676357,5,108.59073376655579
5,300,10,0.0384030862993,0.354290128967,5,133.0003011226654
Altura Maxima,#Amostras,#Execucao,MSE (Melhor), ErroPercentual, Altura (Melhor),Tempo Execucao
5,300,1,0.0355592776086,0.36129089041,5,107.88204550743103
5,300,2,0.0411009274112,0.392316414615,5,118.62426352500916
5,300,3,0.0388840679449,0.38441655858,5,93.84677624702454
5,300,4,0.0409466579439,0.400626352962,5,109.34869980812073
5,300,5,0.0412921181288,0.385973207113,5,97.82047605514526
5,300,6,0.0412469590808,0.396880529553,5,114.44151830673218
5,300,7,0.03824160616,0.385255100321,5,106.54151320457458
5,300,8,0.0413956528633,0.397304817624,5,113.06393384933472
5,300,9,0.0388022817799,0.388132486544,5,110.70594811439514
5,300,10,0.0406118074188,0.38690081783,5,107.97418808937073
